regionID,sumDeliveries,zipCode,city,lat,lon
1,1511,40297,SANCHONUÑO,41.3232,-4.3053
2,2535,25220,BELL-LLOCH,41.6333,0.7833
3,679,45695,ALBERCHE DEL CAUDILLO,39.9189,-4.6801
4,3756,10335,PERALEDA DE LA MATA,39.8529,-5.4606
5,23891,1009,VITORIA-GASTEIZ,42.85,-2.6727
6,256,10530,SERRADILLA,39.8292,-6.1403
7,682,27310,SAN CLODIO,42.4225,-7.3047
8,2006,26230,CASALARREINA,42.5491,-2.9099
9,1677,13248,ALHAMBRA,38.8993,-3.0533
10,2820,17700,"JUNQUERA, LA",42.4173,2.8736
11,861,1300,LAGUARDIA,42.5546,-2.5853
12,978,50171,"PUEBLA DE ALFINDEN, LA",41.5321,-0.4035
13,324,50160,LECIÑENA,41.7987,-0.6117
14,134,22449,CERLER,42.5934,0.5383
15,3037,1160,ARAMAYONA,43.0498,-2.5659
16,1488,43740,MORA DE EBRO,41.0833,0.6333
17,13796,21004,HUELVA,37.2714,-6.9495
18,1128,36500,LALIN,42.8561,-8.2748
19,763,1200,SALVATIERRA,42.8516,-2.3912
20,714,1211,PEÑACERRADA,42.6743,-2.7516749999999988
21,2254,15108,LA CORUÑA,43.2258,-8.647884615384614
22,3257,40300,SEPULVEDA,41.297,-3.7422
23,1302,34310,BECERRIL DE CAMPOS,42.1808,-4.594914285714286
24,24138,36208,VIGO,42.2328,-8.7226
25,2036,25440,VINAIXA,41.4333,0.9833
26,18131,26002,LOGROÑO,42.4667,-2.45
27,7992,22004,HUESCA,42.1362,-0.4087
28,2903,40410,SAN RAFAEL,40.7131,-4.1905
29,72672,41002,SEVILLA,37.3824,-5.9761
30,8465,46723,ALMOINES,38.9432,-0.1816
31,3315,9219,AMEYUGO,42.6028,-3.0461750000000003
32,2168,1440,IZARRA,42.9541,-2.9026
33,974,46389,TURIS,39.3833,-0.7
34,5900,48840,GUEÑES,43.2125,-3.095
35,609,45650,ESPINOSO DEL REY,39.6533,-4.7837
36,119,50529,FUENDEJALON,41.7605,-1.4552666666666667
37,26416,2004,ALBACETE,38.9942,-1.8564
38,2312,21890,MANZANILLA,37.3899,-6.433
39,2010,2100,TARAZONA DE LA MANCHA,39.25,-1.9167
40,802,24500,VILLAFRANCA DEL BIERZO,42.606,-6.8107
41,994,2120,PEÑAS DE SAN PEDRO,38.7288,-2.005
42,841,2125,AYNA,38.55,-2.1022
